#
# Read me with ovd.pl
#
# http://www.nyc.deshaw.com/benefits/CompanyHolidays.shtml
# https://www.nyc.deshaw.com/benefits/2009/CompanyHolidays.shtml
# https://www.nyc.deshaw.com/benefits/2010/CompanyHolidays.shtml
# go/holidays
#
20091030-20091030       noinout OVD # Portland
20091111-20091120       noinout OVD # Argentina
20091126-20091126       noinout Company_Holiday
20091127-20091127       noinout OVD # day after Thanksgiving
20091225-20091225       noinout Company_Holiday
# -------------------------------------------
20100101-20100101       noinout Company_Holiday
20100118-20100118       noinout Company_Holiday
20100215-20100215       noinout Company_Holiday
20100329-20100329       noinout OWH # Ithaca
20100330-20100331       noinout ORD # Pesach
20100405-20100406       noinout ORD # Pesach second days
20100412-20100413       noinout OPD/OWH #
20100514-20100518       noinout OVD # Israel
20100519-20100520       noinout ORD # Shavuot
20100521-20100524       noinout OVD # Israel
20100531-20100531       noinout Company_Holiday
20100705-20100705       noinout Company_Holiday
20100722-20100722       noinout OPD # Barbara Breiman funeral
20100906-20100906       noinout Company_Holiday
20100908-20100908       noinout OWH # Ithaca
20100909-20100910       noinout ORD # Rosh Hashanah
20100923-20100924       noinout ORD # Sukkot
20100930-20101001       noinout ORD # Sukkot second days
20101015-20101018       noinout OVD # in Austin for Nick's wedding
20101125-20101125       noinout Company_Holiday
#20101126-20101126      noinout OVD # Day after Thanksgiving -- not taking off, I'm on ops.
20101206-20101206       noinout OVD # Moving
20101220-20101222       noinout OVD # to Vegas
20101224-20101224       noinout Company_Holiday
# -------------------------------------------
20110117-20110117       noinout Company_Holiday
20110221-20110221       noinout Company_Holiday
20110222-20110225       noinout OPD # paternity leave
20110418-20110418       noinout OWH # from Ithaca
20110419-20110420       noinout ORD # Passover
20110421-20110422       noinout OWH # from Ithaca
20110425-20110426       noinout ORD # Passover second days
20110530-20110530       noinout Company_Holiday
20110608-20110609       noinout ORD # Shavuot
20110704-20110704       noinout Company_Holiday
20110708-20110708       noinout OVD # David Sivak's wedding
20110711-20110711       noinout OVD # David Sivak's wedding
20110829-20110902       noinout OVD # To Avalon, NJ for parents' anniversary
20110905-20110905       noinout Company_Holiday
20110928-20110928       noinout OWH # from Ithaca
20110929-20110930       noinout ORD # Rosh Hashanah
20111006-20111006       noinout OTD # Edward Tufte course
#20111008-20111008      noinout ORD # Yom Kippur is on a Saturday
20111013-20111014       noinout ORD # Sukkot
20111020-20111020       noinout ORD # Shemini Atzeret
20111021-20111021       noinout ORD # Simchat Torah
20111109-20111111       noinout OVD # to Portland
20111124-20111124       noinout Company_Holiday
20111226-20111226       noinout Company_Holiday
20111230-20111230       noinout OVD # To New Hampshire
# -------------------------------------------
20120102-20120102       noinout Company_Holiday
20120116-20120116       noinout Company_Holiday
20120220-20120220       noinout Company_Holiday
20120406-20120406       noinout OVD # Drive to Ithaca
20120409-20120412       noinout OWH # From Ithaca
20120413-20120413       noinout ORD # Passover
20120419-20120423       noinout OVD # to LA for Karen's wedding
20120528-20120528       noinout Company_Holiday (coincides w/ Shavuot)
20120629-20120702       noinout OVD # to Dallas for Greg's wedding
20120703-20120703       noinout OVD # recovering from Dallas, preparing for Asia
20120704-20120704       noinout Company_Holiday
20120705-20120713       noinout OVD # to HK/Taiwain
20120903-20120903       noinout Company_Holiday
20120917-20120918       noinout ORD # Rosh Hashanah
20120919-20120919       noinout OVD # Driving back from Ithaca (forgot to mark it in inout)
20120926-20120926       noinout ORD # Yom Kippur
20121001-20121002       noinout ORD # Sukkot
20121008-20121009       noinout ORD # Shemini Atzeret, Simchat Torah
#20121012-20121012       noinout OVD # to Baltimore, leaving early
20121109-20121109       noinout OVD # to Florida for Matt and Kelly's wedding
20121113-20121113       noinout OWH # Columbus Pre-school visit at 1:30pm
20121122-20121122       noinout Company_Holiday
20121225-20121225       noinout Company_Holiday
# -------------------------------------------
20130101-20130101       noinout Company_Holiday
20130121-20130121       noinout Company_Holiday
20130212-20130215       noinout OVD # Hawaii
20130218-20130218       noinout Company_Holiday
20130219-20130222       noinout OVD # Hawaii
20130325-20130325       noinout OWH # in Ithaca
20130326-20130327       noinout ORD # Passover
20130328-20130329       noinout OWH # in Ithaca?
20130401-20130402       noinout ORD # Passover 2nd days
20130515-20130516       noinout ORD # Shavuot
20130704-20130704       noinout Company_Holiday
20130902-20130902       noinout Company_Holiday
20130905-20130906       noinout ORD # Rosh Hashanah
20130919-20130920       noinout ORD # Sukkot
20130926-20130927       noinout ORD # Shemini Atzeret, Simchat Torah
20131128-20131128       noinout Company_Holiday
20131225-20131225       noinout Company_Holiday
# -------------------------------------------
